user_id,attendance_timestamp,event_id,event_name,event_type,attendance_status,event_date
USER001,2026-05-20 13:16:00,EVT001,Hackathon IA,Academico,checked_in,2026-05-20
USER002,2026-05-20 13:55:00,EVT001,Hackathon IA,Academico,checked_in,2026-05-20
USER003,2026-05-20 08:43:00,EVT001,Hackathon IA,Academico,checked_in,2026-05-20
USER004,2026-05-20 16:07:00,EVT001,Hackathon IA,Academico,checked_in,2026-05-20
USER005,2026-05-20 16:34:00,EVT001,Hackathon IA,Academico,checked_in,2026-05-20
USER006,2026-05-20 18:17:00,EVT001,Hackathon IA,Academico,checked_in,2026-05-20
USER007,2026-05-20 18:41:00,EVT001,Hackathon IA,Academico,checked_in,2026-05-20
USER008,2026-05-20 10:07:00,EVT001,Hackathon IA,Academico,checked_in,2026-05-20
USER009,2026-05-20 10:27:00,EVT001,Hackathon IA,Academico,checked_in,2026-05-20
USER010,2026-05-20 09:29:00,EVT001,Hackathon IA,Academico,checked_in,2026-05-20
USER097,2026-05-20 08:46:00,EVT001,Hackathon IA,Academico,checked_in,2026-05-20
USER100,2026-05-20 16:16:00,EVT001,Hackathon IA,Academico,checked_in,2026-05-20
USER098,2026-05-20 13:48:00,EVT001,Hackathon IA,Academico,checked_in,2026-05-20
USER005,2026-05-21 09:32:00,EVT002,Torneo Tocho,Cultural,checked_in,2026-05-21
USER006,2026-05-21 08:55:00,EVT002,Torneo Tocho,Cultural,checked_in,2026-05-21
USER007,2026-05-21 16:19:00,EVT002,Torneo Tocho,Cultural,checked_in,2026-05-21
USER008,2026-05-21 18:40:00,EVT002,Torneo Tocho,Cultural,checked_in,2026-05-21
USER009,2026-05-21 13:38:00,EVT002,Torneo Tocho,Cultural,checked_in,2026-05-21
USER010,2026-05-21 09:09:00,EVT002,Torneo Tocho,Cultural,checked_in,2026-05-21
USER011,2026-05-21 10:48:00,EVT002,Torneo Tocho,Cultural,checked_in,2026-05-21
USER012,2026-05-21 09:34:00,EVT002,Torneo Tocho,Cultural,checked_in,2026-05-21
USER013,2026-05-21 18:33:00,EVT002,Torneo Tocho,Cultural,checked_in,2026-05-21
USER014,2026-05-21 08:38:00,EVT002,Torneo Tocho,Cultural,checked_in,2026-05-21
USER009,2026-05-21 10:31:00,EVT003,Obra Teatro,Deportivo,checked_in,2026-05-21
USER010,2026-05-21 08:07:00,EVT003,Obra Teatro,Deportivo,checked_in,2026-05-21
USER011,2026-05-21 10:53:00,EVT003,Obra Teatro,Deportivo,checked_in,2026-05-21
USER012,2026-05-21 18:19:00,EVT003,Obra Teatro,Deportivo,checked_in,2026-05-21
USER013,2026-05-21 09:03:00,EVT003,Obra Teatro,Deportivo,checked_in,2026-05-21
USER014,2026-05-21 09:36:00,EVT003,Obra Teatro,Deportivo,checked_in,2026-05-21
USER015,2026-05-21 08:05:00,EVT003,Obra Teatro,Deportivo,checked_in,2026-05-21
USER016,2026-05-21 16:31:00,EVT003,Obra Teatro,Deportivo,checked_in,2026-05-21
USER017,2026-05-21 18:04:00,EVT003,Obra Teatro,Deportivo,checked_in,2026-05-21
