reservation_id,user_id,user_name,space_id,space_name,space_type,date,time,status,reservation_type,reservation_timestamp,cancellation_timestamp,cancellation_reason,related_event_id
RES001,USER001,Usuario001,SPC001,Auditorio A,auditorio,2026-05-11,11:00,confirmed,sports,2026-05-08 00:00:00,,,
RES002,USER002,Usuario002,SPC002,Auditorio B,auditorio,2026-05-12,11:00,cancelled,meeting,2026-05-10 00:00:00,2026-05-10 09:00:00,Espacio ya no requerido,
RES003,USER003,Usuario003,SPC003,Sala Estudio 1,study_room,2026-05-13,17:00,confirmed,meeting,2026-05-10 00:00:00,,,
RES004,USER004,Usuario004,SPC004,Sala Estudio 2,study_room,2026-05-14,10:00,confirmed,sports,2026-05-07 00:00:00,,,
RES005,USER005,Usuario005,SPC005,Sala Estudio 3,study_room,2026-05-15,09:00,confirmed,meeting,2026-05-12 00:00:00,,,
RES006,USER006,Usuario006,SPC006,Cancha Futbol,sports,2026-05-16,15:00,confirmed,meeting,2026-05-15 00:00:00,,,
RES007,USER007,Usuario007,SPC007,Cancha Tocho,sports,2026-05-17,13:00,confirmed,meeting,2026-05-10 00:00:00,,,
RES008,USER008,Usuario008,SPC008,Salon D101,classroom,2026-05-18,13:00,confirmed,study,2026-05-14 00:00:00,,,
RES009,USER009,Usuario009,SPC009,Salon D102,classroom,2026-05-19,11:00,confirmed,sports,2026-05-18 00:00:00,,,
RES010,USER010,Usuario010,SPC010,Salon D103,classroom,2026-05-20,13:00,confirmed,study,2026-05-16 00:00:00,,,
RES011,USER011,Usuario011,SPC011,Lab Sistemas 1,laboratory,2026-05-21,15:00,confirmed,study,2026-05-14 00:00:00,,,
RES012,USER012,Usuario012,SPC012,Lab Sistemas 2,laboratory,2026-05-22,15:00,confirmed,study,2026-05-21 00:00:00,,,
RES013,USER013,Usuario013,SPC013,Foro Cultural,forum,2026-05-23,13:00,confirmed,meeting,2026-05-19 00:00:00,,,
